KODE_DESA,NAMA_DESA,JENIS,KECAMATAN,KAB_KOTA,PROVINSI,CENTROID_LON,CENTROID_LAT,LUAS_HA,LUAS_KM2
35.02.15.2002,Bangunrejo,Desa,Sukorejo,Ponorogo,Jawa Timur,111.39629,-7.83679,563.82,5.638
35.02.15.2015,Gandukepuh,Desa,Sukorejo,Ponorogo,Jawa Timur,111.43723,-7.86378,332.26,3.323
35.02.15.2014,Gegeran,Desa,Sukorejo,Ponorogo,Jawa Timur,111.41214,-7.81076,305.63,3.056
35.02.15.2006,Gelang Lor,Desa,Sukorejo,Ponorogo,Jawa Timur,111.42889,-7.82201,378.56,3.786
35.02.15.2010,Golan,Desa,Sukorejo,Ponorogo,Jawa Timur,111.41559,-7.85356,196.71,1.967
35.02.15.2016,Kalimalang,Desa,Sukorejo,Ponorogo,Jawa Timur,111.43758,-7.87999,123.08,1.231
35.02.15.2013,Karanglo Lor,Desa,Sukorejo,Ponorogo,Jawa Timur,111.42969,-7.86944,141.5,1.415
35.02.15.2012,Kedungbanteng,Desa,Sukorejo,Ponorogo,Jawa Timur,111.42425,-7.78436,742.56,7.426
35.02.15.2009,Kranggan,Desa,Sukorejo,Ponorogo,Jawa Timur,111.44121,-7.82918,151.6,1.516
35.02.15.2005,Lengkong,Desa,Sukorejo,Ponorogo,Jawa Timur,111.43933,-7.84305,243.51,2.435
35.02.15.2018,Morosari,Desa,Sukorejo,Ponorogo,Jawa Timur,111.43278,-7.88195,140.11,1.401
35.02.15.2004,Nambangrejo,Desa,Sukorejo,Ponorogo,Jawa Timur,111.44342,-7.85223,218.4,2.184
35.02.15.2008,Nampan,Desa,Sukorejo,Ponorogo,Jawa Timur,111.42911,-7.8319,162.97,1.63
35.02.15.2011,Prajegan,Desa,Sukorejo,Ponorogo,Jawa Timur,111.42399,-7.80008,802.23,8.022
35.02.15.2007,Serangan,Desa,Sukorejo,Ponorogo,Jawa Timur,111.44048,-7.8075,271.89,2.719
35.02.15.2003,Sidorejo,Desa,Sukorejo,Ponorogo,Jawa Timur,111.39976,-7.81973,416.39,4.164
35.02.15.2017,Sragi,Desa,Sukorejo,Ponorogo,Jawa Timur,111.43989,-7.87688,89.9,0.899
35.02.15.2001,Sukorejo,Desa,Sukorejo,Ponorogo,Jawa Timur,111.41909,-7.83891,552.56,5.526
