NAMA,KATEGORI,DESKRIPSI,DESA,LON,LAT
"Golan Indah (Getuk Golan),Wisata Kuliner,""Destinasi wisata kuliner terkenal, produsen getuk khas Ponorogo"",Golan,111.4156,-7.853"
Wisata Kedung Nila,Wisata Alam,Spot wisata air alami dengan pemandangan asri,Gegeran,111.4125,-7.8095
"Embung Sukorejo,Wisata Alam,""Waduk/embung kecil untuk irigasi, spot memancing warga lokal"",Sukorejo,111.4195,-7.84"
Pusat Oleh-oleh Getuk Golan,Kuliner,Produksi dan penjualan getuk khas Ponorogo dari singkong pilihan,Golan,111.4158,-7.854
Warung Pecel Bu Sari,Kuliner,Warung pecel khas Ponorogo populer di pusat kecamatan,Sukorejo,111.419,-7.8388
"Pasar Sukorejo,Ekonomi,""Pasar tradisional utama Kecamatan Sukorejo, buka setiap hari"",Sukorejo,111.4185,-7.8395"
"Kantor Kecamatan Sukorejo,Pemerintahan,""Kantor pusat pemerintahan Kecamatan Sukorejo, Kab. Ponorogo"",Sukorejo,111.4192,-7.8382"
Koramil Sukorejo,Pemerintahan,Komando Rayon Militer wilayah Kecamatan Sukorejo,Sukorejo,111.4188,-7.8378
Polsek Sukorejo,Pemerintahan,Kepolisian Sektor Sukorejo,Sukorejo,111.4183,-7.8375
Puskesmas Sukorejo,Kesehatan,Pusat Kesehatan Masyarakat Kecamatan Sukorejo,Sukorejo,111.4198,-7.8392
Puskesmas Pembantu Kedungbanteng,Kesehatan,Fasilitas kesehatan pembantu wilayah utara kecamatan,Kedungbanteng,111.424,-7.7845
"SMPN 1 Sukorejo,Pendidikan,""Sekolah Menengah Pertama Negeri, sekolah unggulan kecamatan"",Sukorejo,111.4196,-7.8386"
SDN Sukorejo 1,Pendidikan,Sekolah Dasar Negeri pusat kecamatan,Sukorejo,111.4188,-7.8382
MI Golan,Pendidikan,Madrasah Ibtidaiyah di Desa Golan,Golan,111.4153,-7.8538
SDN Nambangrejo,Pendidikan,Sekolah Dasar wilayah Nambangrejo,Nambangrejo,111.4432,-7.852
"Masjid Jami'  Sukorejo,Keagamaan,""Masjid utama Kecamatan Sukorejo, sering digunakan shalat Jumat & kegiatan Islam"",Sukorejo,111.4191,-7.8385"
Masjid Baitul Makmur Golan,Keagamaan,Masjid besar di Desa Golan,Golan,111.4157,-7.8534
Mushola Al-Ikhlas Nampan,Keagamaan,Tempat ibadah warga Desa Nampan,Nampan,111.4292,-7.832
Gereja Kristen Jawa Sukorejo,Keagamaan,GKJ cabang wilayah Sukorejo,Sukorejo,111.4198,-7.839
Jembatan Kali Golan,Infrastruktur,Jembatan strategis penghubung desa-desa di atas Kali Golan,Golan,111.416,-7.8525
Terminal Angkutan Desa Sukorejo,Infrastruktur,Shelter angkutan umum pedesaan pusat kecamatan,Sukorejo,111.4187,-7.8393
